time_s,fps,process_ms,nodes,objects,orphans,missions,trade_missions,ships,workers
1.7,11.0,16.73,17,1841,0,0,0,3,15
2.7,60.0,19.76,17,1829,0,0,0,3,15
3.7,60.0,18.58,17,1829,0,0,0,3,15
4.7,60.0,18.36,50,1919,0,0,0,3,15
5.8,58.0,60.34,50,1929,0,0,0,3,15
6.8,60.0,19.17,33,1893,0,0,0,3,15
7.8,59.0,37.41,31,1909,2,0,0,3,15
9.1,30.0,410.29,1739,5579,2,0,0,3,15
10.1,55.0,126.84,1929,6067,2,0,0,3,15
11.1,60.0,19.37,1931,6078,0,0,0,3,15
12.1,59.0,31.80,1931,6073,2,0,0,3,15
13.1,60.0,19.10,1931,6071,0,0,0,3,15
14.1,60.0,18.36,1929,6065,2,0,0,3,15
15.1,60.0,18.70,1931,6071,0,0,0,3,15
16.1,60.0,17.65,1929,6083,2,0,0,3,15
17.1,60.0,18.90,1931,6072,0,0,0,3,15
18.1,60.0,18.50,1931,6074,2,0,0,3,15
19.1,60.0,19.01,1933,6094,0,0,0,3,15
20.1,60.0,18.35,1931,6089,2,0,0,3,15
21.1,59.0,31.78,1933,6081,0,0,0,3,15
22.1,59.0,31.31,1929,6067,2,0,0,3,15
23.1,60.0,18.94,1931,6075,0,0,0,3,15
24.1,60.0,19.46,1929,6065,2,0,0,3,15
25.1,60.0,22.18,1931,6071,0,0,0,3,15
26.1,60.0,18.10,1931,6084,2,0,0,3,15
27.1,60.0,18.49,1931,6071,0,0,0,3,15
28.1,60.0,18.19,1929,6078,2,0,0,3,15
29.1,60.0,18.06,1931,6082,0,0,0,3,15
30.1,59.0,32.05,1929,6064,2,0,0,3,15
31.1,60.0,18.64,1933,6078,0,0,0,3,15
32.1,60.0,21.65,1929,6064,2,0,0,3,15
33.1,59.0,31.62,1931,6070,0,0,0,3,15
34.1,60.0,17.77,1929,6064,2,0,0,3,15
35.1,60.0,19.76,1931,6070,0,0,0,3,15
36.1,60.0,19.23,1929,6064,2,0,0,3,15
37.1,60.0,18.18,1931,6070,0,0,0,3,15
38.1,60.0,18.63,1931,6086,2,0,0,3,15
39.1,60.0,20.37,1931,6085,0,0,0,3,15
40.1,60.0,18.26,1929,6082,2,0,0,3,15
41.1,60.0,20.75,1931,6070,0,0,0,3,15
42.1,60.0,17.91,1929,6077,2,0,0,3,15
43.1,60.0,18.30,1933,6091,0,0,0,3,15
44.2,59.0,31.85,1929,6065,2,0,0,3,15
45.2,60.0,24.02,1933,6089,0,0,0,3,15
46.2,60.0,18.62,1929,6071,2,0,0,3,15
47.2,60.0,18.64,1931,6070,0,0,0,3,15
48.2,60.0,18.45,1929,6064,2,0,0,3,15
49.2,60.0,18.23,1931,6070,0,0,0,3,15
50.2,60.0,17.99,1931,6072,2,0,0,3,15
51.2,60.0,18.84,1931,6070,0,0,0,3,15
52.2,60.0,19.68,1929,6064,2,0,0,3,15
53.2,60.0,20.21,1931,6070,0,0,0,3,15
54.2,60.0,18.19,1929,6064,2,0,0,3,15
55.2,60.0,18.59,1931,6070,0,0,0,3,15
56.2,60.0,23.96,1929,6064,2,0,0,3,15
57.2,60.0,19.40,1933,6078,0,0,0,3,15
58.2,60.0,21.17,1929,6064,2,0,0,3,15
59.2,60.0,20.01,1931,6068,0,0,0,3,15
60.2,60.0,18.61,1929,6064,2,0,0,3,15
61.2,60.0,21.60,1931,6068,0,0,0,3,15
62.2,60.0,21.04,1929,6064,2,0,0,3,15
63.2,60.0,20.50,1931,6068,0,0,0,3,15
64.2,60.0,21.05,1931,6072,2,0,0,3,15
65.2,60.0,18.90,1929,6064,2,0,0,3,15
66.2,60.0,21.73,1929,6064,2,0,0,3,15
67.2,60.0,21.16,1929,6064,2,0,0,3,15
68.2,60.0,20.31,1929,6064,2,0,0,3,15
69.2,60.0,20.14,1929,6064,2,0,0,3,15
70.2,60.0,19.75,1929,6064,2,0,0,3,15
71.2,60.0,20.52,1931,6072,2,0,0,3,15
72.2,60.0,19.72,1929,6064,2,0,0,3,15
73.2,60.0,21.18,1929,6064,2,0,0,3,15
74.2,60.0,19.45,1929,6064,2,0,0,3,15
75.2,60.0,22.35,1929,6064,2,0,0,3,15
76.2,60.0,20.43,1931,6072,2,0,0,3,15
77.2,60.0,19.26,1929,6064,2,0,0,3,15
78.2,60.0,20.24,1929,6064,2,0,0,3,15
79.2,60.0,20.36,1929,6064,2,0,0,3,15
80.2,60.0,20.76,1929,6064,2,0,0,3,15
81.2,60.0,19.60,1929,6064,2,0,0,3,15
82.2,60.0,20.65,1929,6064,2,0,0,3,15
83.2,60.0,19.78,1931,6072,2,0,0,3,15
84.2,60.0,19.62,1929,6064,2,0,0,3,15
85.2,60.0,19.38,1929,6064,2,0,0,3,15
86.2,60.0,20.86,1929,6064,2,0,0,3,15
87.2,60.0,19.89,1929,6064,2,0,0,3,15
88.2,60.0,22.73,1929,6064,2,0,0,3,15
89.2,60.0,18.76,1929,6064,2,0,0,3,15
90.2,60.0,19.40,1931,6072,2,0,0,3,15
91.2,60.0,19.16,1929,6064,2,0,0,3,15
92.2,60.0,19.12,1929,6064,2,0,0,3,15
93.2,60.0,19.94,1929,6064,2,0,0,3,15
94.2,60.0,19.97,1929,6064,2,0,0,3,15
95.2,60.0,20.29,1929,6064,2,0,0,3,15
96.2,60.0,21.96,1929,6064,2,0,0,3,15
97.2,60.0,19.31,1931,6072,2,0,0,3,15
98.2,60.0,20.29,1929,6064,2,0,0,3,15
99.2,60.0,21.26,1929,6064,2,0,0,3,15
100.2,60.0,20.07,1929,6064,2,0,0,3,15
101.2,60.0,18.18,1929,6064,2,0,0,3,15
102.2,60.0,20.63,1929,6064,2,0,0,3,15
103.2,60.0,19.72,1929,6064,2,0,0,3,15
104.2,60.0,21.57,1931,6070,2,0,0,3,15
105.2,60.0,19.87,1929,6064,2,0,0,3,15
106.2,60.0,19.26,1929,6064,2,0,0,3,15
107.2,60.0,21.83,1929,6064,2,0,0,3,15
108.2,60.0,21.82,1929,6064,2,0,0,3,15
109.2,60.0,21.06,1929,6064,2,0,0,3,15
110.2,60.0,18.79,1929,6064,2,0,0,3,15
111.2,60.0,21.14,1931,6070,2,0,0,3,15
112.2,60.0,19.44,1929,6064,2,0,0,3,15
113.2,60.0,20.96,1929,6064,2,0,0,3,15
114.2,60.0,18.14,1929,6064,2,0,0,3,15
115.2,60.0,21.03,1929,6064,2,0,0,3,15
116.2,60.0,20.12,1931,6072,2,0,0,3,15
117.2,60.0,21.38,1929,6064,2,0,0,3,15
118.2,60.0,20.54,1929,6064,2,0,0,3,15
119.2,60.0,18.67,1929,6064,2,0,0,3,15
120.2,60.0,21.57,1929,6064,2,0,0,3,15
